line_no,row_kind,source_table,datadiscriminator,asset_category,currency,symbol,date_time,quantity,t_price,proceeds,comm_fee,basis,realized_p_l,code,notional_value,comm_in_usd,field_10,field_11
222,Data,trades__01,Order,Equity and Index Options,USD,SLV 20JUN25 30 C,"2025-06-20, 16:20:00",-1,0,0,0,-178.70725,0,C;Ex,,,,
223,SubTotal,trades__01,,Equity and Index Options,USD,SLV 20JUN25 30 C,,0,,822,-12.96514,0,987.74211,,,,,
224,Data,trades__01,Order,Equity and Index Options,USD,SLV 20JUN25 35 C,"2025-04-23, 15:11:54",-1,0.45,45,-1.061291,-43.938709,0,O,,,,
225,Data,trades__01,Order,Equity and Index Options,USD,SLV 20JUN25 35 C,"2025-04-24, 09:46:37",-1,0.37,37,-1.0610686,-35.9389314,0,O,,,,
226,Data,trades__01,Order,Equity and Index Options,USD,SLV 20JUN25 35 C,"2025-04-24, 10:31:07",-5,0.39,195,-3.255621,-191.744379,0,O;P,,,,
227,Data,trades__01,Order,Equity and Index Options,USD,SLV 20JUN25 35 C,"2025-04-24, 14:48:47",-5,0.38,190,-3.555482,-186.444518,0,O;P,,,,
228,Data,trades__01,Order,Equity and Index Options,USD,SLV 20JUN25 35 C,"2025-06-20, 12:37:15",11,0.01,-11,0.35255,420.777634,410.130184,C,,,,
229,Data,trades__01,Order,Equity and Index Options,USD,SLV 20JUN25 35 C,"2025-06-20, 16:20:00",1,0,0,0,37.288904,37.288904,C;Ep,,,,
230,SubTotal,trades__01,,Equity and Index Options,USD,SLV 20JUN25 35 C,,0,,456,-8.5809126,0.0000006,447.419088,,,,,
231,Total,trades__01,,Equity and Index Options,USD,,,,,4021,-48.3431196,-6429.9413726,-1901.191512, ,,,,
233,Data,trades__02,Order,Futures,HKD,MHIG5,"2025-02-24, 20:14:00",1,22770,,-17,227717,0,O,-227700,,,
234,Data,trades__02,Order,Futures,HKD,MHIG5,"2025-02-27, 07:00:00",-1,23687,,-17,-227717,9136,C;Ep,236870,,,
235,SubTotal,trades__02,,Futures,HKD,MHIG5,,0,,,-34,0,9136,,9170,,,
236,Data,trades__02,Order,Futures,HKD,MHIJ5,"2025-03-12, 21:19:16",1,23695,,-17,236967,0,O,-236950,,,
237,Data,trades__02,Order,Futures,HKD,MHIJ5,"2025-04-06, 21:45:44",-1,20632,,-17,-236967,-30664,C;L,206320,,,
238,SubTotal,trades__02,,Futures,HKD,MHIJ5,,0,,,-34,0,-30664,,-30630,,,
239,Total,trades__02,,Futures,HKD,,,,,,-68,0,-21528, ,-21460,,,
240,Total,trades__02,,Futures,USD,,,,,,-8.74837,-3.01717,-2773.06784, ,-2761.3023,,,
241,Data,trades__02,Order,Futures,USD,MESH5,"2025-03-10, 11:35:58",-1,5678,,-0.62,-30285.62,-1896.24,C,28390,,,
242,SubTotal,trades__02,,Futures,USD,MESH5,,-1,,,-0.62,-30285.62,-1896.24,,28390,,,
